"Qty";"Value";"Device";"Package";"Parts";"Description";"FARNELL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";"";"DIODE_VS-6CWQ03FN";"TO252";"D$1";"Datasheet: http://www.vishay.com/docs/94247/6cwq03fn.pdf";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JTAG";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-1X7/90";"1X07/90";"KEYPAD";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"TAC_SWITCHPTH";"TACTILE-PTH";"POW";"Momentary Switch";"";"";"";"";"";"";"";
"1";"";"ZENER-DIODEDO41Z10";"DO41Z10";"D5";"Z-Diode";"";"";"";"";"";"";"";
"2";"0.005";"R-EU_R2512";"R2512";"RSENSE2, RSENSE_BATT";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"3";"0.1uF";"C-EUC0805K";"C0805K";"C5, C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"0R";"R-EU_M0805";"M0805";"R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"1.32k";"R-EU_M0805";"M0805";"R4, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"100K";"R-EU_M0805";"M0805";"R14, R_RST";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"4";"100nF";"C-EUC0805K";"C0805K";"C3, C13, C14, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"100u";"C2.5/2";"C2.5-2";"5V_CIN";"CAPACITOR";"";"";"";"";"";"";"";
"1";"100uF";"C-EU025-050X050";"C025-050X050";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"7";"10K";"R-EU_M0805";"M0805";"KEY_1, KEY_2, KEY_3, R3, R5, R_GAIN, R_GAIN1";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"10K";"R-TRIMM3304W";"RTRIM3304W";"CONTR";"Trimm resistor";"";"";"";"";"";"";"";
"2";"12.5pF";"C-EUC0805K";"C0805K";"C1, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"3";"1k";"R-EU_M0805";"M0805";"R20, R23, R24";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"7";"1uF";"C-EUC0805K";"C0805K";"C2, C10, C11, C12, C16, C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
