"Qty";"Value";"Device";"Package";"Parts";"Description";"FARNELL";"MF";"MPN";"OC_FARNELL";"OC_MOUSER";"OC_NEWARK";"PACKAGE";"RS";"SUPPLIER";"TOBY";
"1";"";"BC847B-NPN-SOT23-BEC";"SOT23-BEC";"T1";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";
"1";"";"JACK-PLUG0";"SPC4077";"SOL";"DC POWER JACK";"";"";"";"unknown";"";"unknown";"";"";"";"DC-001-A-2.1mm-R";
"1";"";"PINHD-1X3";"1X03";"SERIAL";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JTAG";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X7/90";"1X07/90";"KEYPAD";"PIN HEADER";"";"";"";"588763";"";"";"";"";"";"";
"1";"";"TAC_SWITCHPTH";"TACTILE-PTH";"POW";"Momentary Switch";"";"";"";"";"";"";"";"758-1979";"";"";
"1";"0.01";"R-EU_R2512";"R2512";"RS_B";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"0.1";"R-EU_R2512";"R2512";"RS_S";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"0R";"R-EU_M0805";"M0805";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"2";"1.33k";"R-EU_M0805";"M0805";"R5, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"2";"10";"R-EU_M0805";"M0805";"R17, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"100";"R-EU_M0805";"M0805";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1000uF";"CPOL-EUG";"PANASONIC_G";"C22";"POLARIZED CAPACITOR, European symbol";"";"";"";"1244342";"";"";"";"";"";"";
"1";"100K";"R-EU_M0805";"M0805";"R_RST";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"5";"100nF";"C-EUC0805K";"C0805K";"C2, C11, C15, C16, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"2";"100uF";"CPOL-EUE";"PANASONIC_E";"C8, C19";"POLARIZED CAPACITOR, European symbol";"";"";"";"1539489";"";"";"";"";"";"";
"1";"100uH";"INDUC_BOURNES_SDR2207";"INDUC_BOURNS_SDR2207";"L_5V";"";"1612709";"";"";"1612709";"";"";"";"";"";"";
"4";"10K";"R-EU_M0805";"M0805";"R4, R13, R15, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"10K";"R_TRIMM_TC33X";"R_TRIMM_RC33X";"CONTR";"";"";"";"";"1689863";"652-TC33X-2-103E";"";"";"";"";"";
"1";"10M";"R-EU_M0805";"M0805";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"3";"10uF";"C-EUC0805K";"C0805K";"C3, C13, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"5";"1k";"R-EU_M0805";"M0805";"R2, R10, R20, R21, R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1k65";"R-EU_M0805";"M0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"8";"1uF";"C-EUC0805K";"C0805K";"C1, C4, C5, C9, C10, C14, C20, C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"3";"200";"R-EU_M0805";"M0805";"R6, R7, R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"220uF";"CPOL-EUF";"PANASONIC_F";"C12";"POLARIZED CAPACITOR, European symbol";"";"";"";"9695877";"";"";"";"";"";"";
"1";"32.768kHz";"MC-306";"MC-306";"Q1";"kHz RANGE CRYSTAL UNIT SMD";"";"";"MC-306";"1712823";"";"-";"";"";"";"";
"1";"330u";"INDUC_MURATA_1433428C";"INDUC_MURATA_1433428C";"L_MPPT";"";"";"";"";"1929706";"";"";"";"";"";"";
